BBM_10_r1, BBM_10_r2, BBM_10_r3, SBWW_10_r1, SBWW_10_r2, SBWW_10_r3
74156800, 114711300, 105441700, 94784800, 74319900, 66780200
66045900, 107759100, 110076500, 138945900, 123866500, 133560400
101800000, 103200000, 59299000, 114500000, 278000000, 94350000
130400000, 130900000, 138100000, 169300000, 162600000, 156200000
181600000, 186000000, 184100000, 161000000, 219000000, 143000000
226800000, 215700000, 204600000, 628600000, 241900000, 301400000
406400000, 321000000, 278800000, 1005000000, 82458000, 893900000
494800000, 455900000, 415000000, 1483000000, 2591000000, 1493000000
881800000, 606500000, 532700000, 1547000000, 1648000000, 1245000000
1066000000, 625000000, 523000000, 1324000000, 1922000000, 1361000000
938800000, 804500000, 762600000, 1723000000, 1286000000, 1416000000
1349000000, 1400000000, 1048000000, 1677000000, 1632000000, 1804000000
1402000000, 1080000000, 1219000000, 3109000000, 1837000000, 1956000000
1306000000, 1932000000, 1263000000, 1670000000, 1881000000, 1400000000
1690000000, 1788000000, 1194000000, 1603000000, 1323000000, 1559000000
1726000000, 1756000000, 1756000000, 2001000000, 1609000000, 1504000000
